,cycles,winner
0,9,B
1,23,B
2,5,A
3,11,B
4,6,A
5,10,A
6,41,B
7,24,A
8,7,A
9,12,B
10,14,B
11,8,A
12,39,A
13,8,A
14,6,B
15,6,B
16,9,B
17,71,B
18,9,A
19,7,A
20,8,B
21,10,B
22,9,A
23,9,A
24,8,A
25,8,A
26,28,A
27,6,A
28,10,B
29,26,B
30,16,A
31,11,B
32,5,B
33,11,A
34,8,A
35,23,B
36,7,A
37,11,B
38,29,B
39,13,A
40,13,B
41,6,B
42,34,B
43,20,B
44,16,A
45,8,A
46,13,B
47,38,A
48,8,A
49,7,A
50,12,B
51,9,B
52,5,A
53,18,B
54,9,A
55,6,B
56,16,B
57,20,A
58,16,A
59,10,A
60,73,A
61,14,B
62,15,A
63,10,B
64,8,A
65,8,A
66,13,B
67,10,A
68,12,A
69,13,B
70,13,B
71,30,B
72,5,B
73,7,A
74,12,A
75,14,A
76,15,B
77,24,A
78,41,A
79,9,B
80,15,A
81,33,B
82,17,B
83,9,B
84,9,A
85,10,A
86,7,A
87,15,A
88,27,B
89,33,B
90,14,A
91,13,A
92,8,A
93,32,A
94,18,B
95,7,A
96,9,B
97,42,A
98,17,B
99,9,B
100,10,A
101,47,B
102,6,B
103,51,B
104,9,B
105,14,A
106,6,B
107,7,A
108,34,B
109,46,A
110,42,B
111,8,B
112,37,A
113,14,A
114,8,A
115,24,A
116,32,A
117,13,B
118,6,B
119,12,A
120,42,A
121,7,B
122,15,A
123,18,B
124,9,B
125,8,A
126,20,A
127,31,A
128,16,A
129,7,A
130,24,A
131,8,B
132,15,B
133,8,A
134,13,B
135,11,B
136,21,A
137,10,B
138,16,A
139,40,A
140,7,B
141,19,A
142,9,A
143,17,A
144,22,A
145,20,B
146,5,A
147,12,B
148,12,B
149,24,B
150,15,A
151,8,A
152,8,A
153,21,A
154,45,B
155,82,B
156,19,B
157,28,B
158,20,A
159,11,B
160,19,A
161,10,A
162,5,A
163,19,B
164,6,A
165,22,A
166,8,B
167,11,A
168,23,A
169,13,A
170,24,B
171,18,B
172,6,A
173,13,A
174,16,B
175,10,A
176,7,A
177,6,B
178,7,B
179,34,B
180,18,A
181,21,A
182,14,B
183,13,B
184,7,A
185,9,A
186,14,B
187,28,A
188,10,A
189,27,B
190,5,A
191,24,A
192,13,A
193,13,B
194,7,A
195,17,A
196,10,B
197,11,B
198,6,A
199,26,A
200,33,B
201,29,B
202,23,A
203,7,A
204,34,B
205,16,B
206,26,A
207,9,B
208,12,B
209,10,A
210,30,A
211,10,A
212,19,A
213,47,A
214,40,A
215,6,B
216,26,A
217,84,A
218,16,A
219,11,A
220,19,B
221,17,B
222,27,B
223,17,B
224,25,A
225,14,B
226,16,B
227,11,A
228,8,A
229,16,A
230,20,A
231,11,B
232,18,A
233,11,A
234,5,A
235,6,B
236,16,B
237,13,B
238,13,B
239,57,A
240,10,A
241,8,B
242,12,A
243,22,B
244,35,B
245,9,A
246,13,A
247,29,A
248,8,A
249,7,B
250,23,A
251,17,B
252,16,A
253,24,B
254,21,B
255,5,A
256,22,B
257,7,B
258,7,A
259,9,B
260,5,B
261,13,A
262,57,A
263,7,B
264,13,A
265,16,A
266,10,B
267,9,A
268,5,A
269,6,A
270,27,A
271,9,A
272,21,B
273,5,A
274,11,A
275,12,B
276,7,A
277,9,B
278,9,A
279,46,B
280,8,A
281,7,B
282,24,B
283,18,B
284,30,A
285,5,A
286,8,A
287,29,B
288,20,A
289,6,B
290,6,A
291,7,B
292,9,B
293,9,A
294,12,A
295,6,B
296,8,A
297,7,B
298,6,A
299,9,B
300,10,B
301,14,A
302,14,B
303,24,A
304,14,B
305,11,A
306,24,A
307,5,A
308,24,B
309,6,B
310,13,B
311,14,A
312,14,A
313,13,B
314,45,B
315,13,B
316,7,B
317,16,A
318,7,B
319,15,B
320,16,A
321,6,A
322,10,A
323,7,A
324,15,A
325,7,A
326,15,B
327,58,B
328,26,A
329,5,B
330,14,A
331,26,B
332,25,B
333,11,B
334,7,B
335,6,A
336,8,A
337,5,A
338,14,B
339,7,A
340,41,B
341,11,A
342,8,B
343,6,A
344,7,B
345,16,A
346,8,A
347,12,B
348,7,B
349,7,A
350,19,B
351,22,B
352,13,B
353,11,A
354,5,A
355,6,A
356,23,A
357,13,B
358,23,A
359,11,B
360,13,B
361,11,A
362,6,B
363,11,B
364,13,B
365,14,B
366,24,B
367,66,A
368,33,B
369,27,A
370,32,A
371,25,B
372,6,A
373,6,A
374,20,A
375,17,A
376,34,B
377,12,B
378,27,B
379,13,A
380,35,B
381,25,A
382,40,B
383,17,A
384,8,A
385,18,B
386,31,A
387,6,A
388,12,B
389,7,A
390,9,A
391,21,B
392,18,B
393,6,A
394,23,A
395,13,A
396,21,B
397,15,B
398,13,A
399,20,A
400,18,B
401,12,B
402,18,B
403,8,A
404,35,B
405,33,B
406,20,A
407,8,B
408,7,A
409,17,B
410,8,A
411,29,B
412,11,B
413,9,B
414,5,B
415,10,B
416,20,A
417,11,A
418,8,B
419,16,B
420,21,A
421,18,A
422,37,B
423,6,A
424,15,A
425,16,B
426,24,B
427,16,B
428,16,A
429,53,A
430,54,A
431,14,B
432,21,A
433,6,A
434,78,B
435,17,B
436,9,B
437,13,B
438,20,A
439,10,A
440,58,A
441,31,B
442,10,A
443,34,A
444,6,A
445,9,B
446,34,A
447,17,A
448,12,B
449,32,A
450,8,B
451,23,B
452,11,B
453,23,B
454,13,A
455,6,B
456,21,B
457,27,B
458,7,A
459,23,A
460,10,B
461,26,A
462,7,B
463,6,B
464,5,B
465,5,A
466,12,A
467,11,B
468,101,A
469,7,A
470,18,A
471,7,B
472,21,B
473,34,A
474,14,A
475,6,A
476,8,B
477,20,B
478,24,A
479,51,B
480,11,A
481,20,B
482,20,B
483,22,A
484,38,A
485,10,B
486,34,A
487,6,B
488,14,A
489,48,B
490,10,B
491,5,B
492,35,B
493,10,A
494,8,A
495,14,A
496,32,B
497,10,A
498,7,A
499,22,B
500,8,B
501,34,A
502,5,B
503,7,A
504,7,A
505,17,B
506,23,B
507,15,A
508,9,B
509,10,B
510,14,B
511,5,A
512,14,B
513,26,A
514,9,B
515,8,A
516,27,B
517,9,B
518,10,A
519,36,A
520,11,A
521,20,B
522,6,B
523,22,A
524,6,A
525,21,B
526,10,A
527,10,A
528,5,B
529,5,A
530,15,B
531,7,A
532,23,A
533,12,A
534,25,B
535,36,B
536,26,A
537,25,A
538,23,A
539,13,B
540,13,B
541,6,A
542,46,B
543,6,A
544,6,B
545,9,B
546,10,B
547,25,A
548,11,B
549,6,A
550,27,B
551,8,B
552,6,A
553,15,B
554,10,B
555,12,A
556,37,B
557,11,B
558,6,A
559,7,A
560,16,B
561,13,B
562,23,B
563,5,B
564,13,A
565,19,B
566,18,A
567,36,B
568,28,A
569,7,A
570,21,B
571,17,A
572,15,A
573,12,A
574,8,A
575,24,A
576,14,A
577,45,A
578,6,A
579,20,A
580,14,A
581,20,B
582,32,B
583,28,B
584,7,B
585,31,B
586,26,B
587,6,B
588,26,B
589,17,B
590,20,B
591,22,A
592,8,A
593,7,B
594,52,A
595,8,B
596,19,B
597,16,B
598,6,B
599,12,B
600,29,A
601,27,B
602,24,B
603,9,A
604,17,B
605,5,B
606,7,A
607,15,B
608,26,A
609,6,A
610,9,A
611,17,A
612,19,B
613,29,A
614,8,B
615,8,B
616,26,A
617,5,B
618,9,B
619,11,A
620,59,A
621,88,A
622,32,A
623,27,A
624,58,B
625,20,A
626,17,B
627,22,A
628,9,A
629,7,A
630,22,A
631,25,B
632,16,A
633,73,A
634,53,A
635,12,A
636,6,A
637,5,B
638,17,B
639,8,B
640,20,A
641,18,A
642,86,A
643,55,A
644,12,A
645,10,A
646,10,A
647,14,A
648,20,B
649,5,B
650,18,A
651,29,A
652,21,B
653,43,B
654,15,A
655,8,B
656,17,A
657,9,A
658,17,B
659,13,A
660,14,A
661,30,A
662,30,A
663,26,A
664,5,A
665,21,B
666,10,A
667,23,A
668,6,A
669,14,A
670,7,A
671,27,B
672,26,A
673,12,B
674,7,B
675,27,B
676,8,A
677,7,B
678,18,A
679,8,A
680,48,B
681,9,B
682,17,A
683,6,B
684,12,B
685,14,B
686,19,A
687,21,B
688,23,B
689,23,A
690,25,A
691,27,B
692,36,A
693,9,A
694,11,B
695,5,B
696,9,B
697,36,B
698,30,A
699,14,B
700,6,B
701,23,B
702,14,B
703,13,B
704,5,B
705,10,A
706,9,B
707,5,B
708,11,A
709,7,B
710,54,A
711,12,A
712,11,A
713,7,A
714,49,A
715,17,B
716,10,A
717,27,A
718,37,B
719,14,A
720,14,B
721,19,B
722,13,B
723,15,A
724,21,A
725,5,A
726,7,B
727,7,B
728,12,A
729,31,B
730,23,B
731,12,A
732,9,B
733,15,B
734,9,B
735,5,B
736,14,A
737,5,A
738,17,B
739,11,B
740,6,B
741,55,A
742,5,B
743,9,A
744,16,A
745,9,B
746,29,A
747,28,A
748,5,A
749,34,A
750,7,B
751,13,A
752,93,B
753,27,A
754,40,B
755,11,B
756,31,B
757,5,B
758,24,B
759,50,B
760,8,B
761,10,B
762,12,A
763,7,A
764,25,B
765,5,A
766,14,B
767,20,B
768,16,B
769,52,B
770,16,B
771,10,B
772,22,A
773,13,B
774,7,B
775,19,B
776,21,B
777,20,B
778,10,B
779,13,B
780,21,A
781,13,B
782,14,A
783,5,B
784,27,B
785,32,A
786,8,B
787,36,A
788,11,B
789,7,A
790,12,B
791,45,B
792,12,A
793,14,B
794,29,A
795,10,B
796,11,B
797,7,A
798,19,B
799,10,A
800,52,A
801,30,B
802,14,A
803,48,B
804,15,B
805,41,A
806,7,B
807,12,B
808,13,A
809,11,B
810,13,B
811,79,B
812,10,A
813,8,B
814,16,A
815,13,A
816,10,B
817,17,B
